sensor,correlation_with_cycle,abs_corr
sensor_11,0.6343845048360641,0.6343845048360641
sensor_4,0.6245771663317995,0.6245771663317995
sensor_12,-0.6113536330276561,0.6113536330276561
sensor_7,-0.5959135558091678,0.5959135558091678
sensor_15,0.5886757839100376,0.5886757839100376
sensor_21,-0.5859233821213234,0.5859233821213234
sensor_20,-0.5835968919059155,0.5835968919059155
sensor_17,0.5669949114523697,0.5669949114523697
sensor_2,0.5498980406465294,0.5498980406465294
sensor_3,0.5439469967381215,0.5439469967381215
sensor_13,0.4775229634880042,0.4775229634880042
sensor_8,0.47597731886522193,0.47597731886522193
sensor_9,0.44399934723907886,0.44399934723907886
sensor_14,0.3703236341979463,0.3703236341979463
sensor_6,0.10597998499501861,0.10597998499501861
setting_2,0.016132042942544514,0.016132042942544514
setting_1,-0.00452681273349689,0.00452681273349689
setting_3,,
sensor_1,,
sensor_5,,
sensor_10,,
sensor_16,,
sensor_18,,
sensor_19,,
