sensor,mean,std,variance,min,max,corr_with_cycle
setting_1,-8.870146866366145e-06,0.002187313449015146,4.784340124242533e-06,-0.0087,0.0087,-0.00452681273349689
setting_2,2.3508312733265463e-06,0.00029306212456614496,8.588540885522267e-08,-0.0006,0.0006,0.016132042942544514
setting_3,100.0,0.0,0.0,100.0,100.0,
sensor_1,518.67,0.0,0.0,518.67,518.67,
sensor_2,642.6809335466046,0.5000532700606232,0.2500532728983226,641.21,644.53,0.5498980406465294
sensor_3,1590.5231186079202,6.131149519690819,37.59099443280496,1571.04,1616.91,0.5439469967381215
sensor_4,1408.9337816877514,9.000604780543714,81.01088641554637,1382.25,1441.49,0.6245771663317995
sensor_5,14.620000000000005,5.329199674912836e-15,2.840036917509108e-29,14.62,14.62,
sensor_6,21.609803208763513,0.0013889849127073114,1.9292790877285376e-06,21.6,21.61,0.10597998499501861
sensor_7,553.367711211284,0.8850922576634073,0.7833883045757074,549.85,556.06,-0.5959135558091678
sensor_8,2388.0966516407348,0.07098547889092417,0.005038938213373842,2387.9,2388.56,0.47597731886522193
sensor_9,9065.242940720276,22.082879525066232,487.65356811858936,9021.73,9244.59,0.44399934723907886
sensor_10,1.3,0.0,0.0,1.3,1.3,
sensor_11,47.54116814502448,0.2670873986396848,0.0713356785121139,46.85,48.53,0.6343845048360641
sensor_12,521.4134700208424,0.7375533922097114,0.5439850063600523,518.69,523.38,-0.6113536330276561
sensor_13,2388.0961523920314,0.07191891569857814,0.005172330435259189,2387.88,2388.56,0.4775229634880042
sensor_14,8143.752722117203,19.076175975953106,363.90048986553046,8099.94,8293.72,0.3703236341979463
sensor_15,8.442145581891328,0.03750503795196652,0.001406627871778449,8.3249,8.5848,0.5886757839100376
sensor_16,0.030000000000000002,3.469531038354711e-18,1.203764562610672e-35,0.03,0.03,
sensor_17,393.2106538703892,1.548763024614299,2.3986669064124313,388.0,400.0,0.5669949114523697
sensor_18,2388.0,0.0,0.0,2388.0,2388.0,
sensor_19,100.0,0.0,0.0,100.0,100.0,
sensor_20,38.81627066065629,0.18074642787366083,0.032669271189088474,38.14,39.43,-0.5835968919059155
sensor_21,23.289705360864716,0.10825087474491234,0.011718251883038698,22.8942,23.6184,-0.5859233821213234
